FullName,Gender,Major,Description,Personality,Interests,Communication_Style,Looking_for,Favorite_Subject,Study_Location,Study_Time
Đỗ Tuấn Thành,Male,ATE,,ESTJ,Art,Video call,Chit Chatting,"Environment, Health Care, Practical laboratory","Bookstore, Café",Overnight
Đỗ Thu Trang,Female,FST,,ESFJ,"Coffee, Tea, Ballet, Bowling, Politics",Text message,Share knowledge,"Environment, Physics, Calculus, Practical laboratory",Café,Evening
Dương Phạm Anh Vũ,Male,EER,,ESTJ,"Investment, Study",Video call,Share knowledge,"Electronic, Health Care",Bookstore,Evening
Lương Minh Thùy Vy,Female,ICT,,ESTP,"Taekwondo, Skiing",Phone call,Share knowledge,"Programming, Health Care, Physics, Chemistry, Environment","Bookstore, Home",Overnight
Đỗ Hải Anh,Male,MAT,,ENTJ,"DIY, Netflix",Text message,Study supporter,"Environment, Linear Algebra, Programming, Chemistry",Home,Early Morning
Đỗ Kim Phụng Anh,Female,CH,,INTJ,"Bowling, Basketball, Art",In-person (face-to-face),Chit Chatting,"Environment, Physics, Linear Algebra, Biology, Programming","Library, Online, Café",Midnight
Hồ Đức Anh,Male,DS,,ISTJ,"Study, Bowling, Swimming",In-person (face-to-face),Share knowledge,Environment,"Library, Online",Early Morning
Phạm Đức Anh,Male,EER,,ISTJ,Swimming,Phone call,Share knowledge,Biology,Bookstore,Midnight
Phạm Hoàng Anh,Female,SIC,,INFP,"Korean food, Table tennis, Skiing, Yoga, singing",In-person (face-to-face),Study supporter,"Health Care, Practical laboratory, Biology, Physics, Calculus","Online, Café, Home",Midday
Đặng Chí Bách,Male,DS,,ESFP,"DIY, Art, singing",Text message,Chit Chatting,Biology,"Library, Online",Midday
Nguyễn Hải Cường,Male,CH,,INTJ,"Yoga, Alcoholic",In-person (face-to-face),Chit Chatting,"Biology, Environment, Health Care, Calculus","Online, Café",Night
Ngô Trung Dũng,Male,MAT,,ESTJ,"Swimming, Hiphop, Makeup, DIY, Rap",Video call,Study supporter,Artificial Intelligence,"Bookstore, Café, Online",Night
Trương Quốc Dũng,Male,ATE,,ESFJ,"Bowling, Gym",Phone call,Share knowledge,"Chemistry, Artificial Intelligence, Linear Algebra, Health Care, Electronic","Bookstore, Library",Midnight
Hoàng Đức Duy,Male,AE,,ESFP,"DIY, Taekwondo, Investment, Jogging",Video call,Chit Chatting,"Biology, Artificial Intelligence","Online, Café, Bookstore",Midnight
Nguyễn Lê Kỳ Duyên,Female,AE,,ENTJ,"Art, Makeup, Dancing, Study",Phone call,Share knowledge,"Chemistry, Linear Algebra, Electronic","Online, Library",Evening
Lê Đức Đại,Male,SST,,ISTP,"Korean food, Cooking",Phone call,Chit Chatting,"Electronic, Physics, Health Care, Calculus",Online,Night
Nguyễn Anh Đức,Male,SST,,ISFP,"Makeup, Art, Travel, Baseball",Phone call,Study supporter,"Linear Algebra, Artificial Intelligence, Programming, Practical laboratory","Online, Bookstore",Midnight
Trần Ngọc Nam Hải,Male,MST,,ESFJ,"Makeup, Badminton, Ballet",Phone call,Study supporter,Artificial Intelligence,"Library, Home, Café",Overnight
Trần Gia Hiển,Male,EER,,ESFP,V-pop,Video call,Study supporter,"Linear Algebra, Practical laboratory, Electronic, Chemistry, Artificial Intelligence","Bookstore, Library",Night
Nguyễn Phương Hoa,Female,ATE,,INTJ,"Ballet, Table tennis, Study, Food tour, EDM",Phone call,Chit Chatting,"Biology, Physics","Online, Bookstore, Café",Night
Nguyễn Minh Hòa,Female,CH,,ISTJ,"Football, Vlogging",Text message,Share knowledge,"Linear Algebra, Calculus, Environment","Library, Home, Online",Night
Lê Nhật Hoàng,Male,ICT,,ESTP,"Skateboarding, K-pop",Video call,Chit Chatting,"Biology, Electronic, Calculus, Programming, Practical laboratory",Library,Evening
Lê Thế Hưng,Male,MAT,,ENFP,"Yoga, Korean food, Food tour",Video call,Study supporter,"Electronic, Linear Algebra, Practical laboratory, Biology, Physics","Online, Café, Bookstore",Midnight
Nghiêm Quốc Hùng,Male,ATE,,ESTJ,"Gym, singing, Study, Table tennis",Phone call,Chit Chatting,Linear Algebra,"Café, Bookstore",Midnight
Nguyễn Khánh Huyền,Female,AE,,ISFJ,"V-pop, Investment",In-person (face-to-face),Study supporter,"Linear Algebra, Biology, Programming","Bookstore, Café, Library",Evening
Nguyễn Phúc Khánh,Female,MST,,ESTP,"Netflix, Art",Video call,Study supporter,"Biology, Electronic, Programming, Practical laboratory","Library, Bookstore, Online",Evening
Nguyễn Tuấn Khải,Male,BIT,,INFP,"K-pop, Football, Coffee, Tea, Investment",Phone call,Study supporter,Programming,Library,Midnight
Dương Mạnh Kiên,Male,BIT,,ISTP,"Ballet, Skateboarding, Rap",Text message,Share knowledge,"Calculus, Environment","Café, Library",Overnight
Nguyễn Chí Kiên,Male,EER,,ESTJ,EDM,Phone call,Study supporter,"Health Care, Environment, Chemistry",Café,Early Morning
Trần Tuấn Kiệt,Male,AE,,ESTJ,Vlogging,Phone call,Chit Chatting,"Practical laboratory, Environment, Physics, Programming",Online,Midnight
Nguyễn Tường Linh,Female,ATE,,ISFJ,"Movie, Anime",In-person (face-to-face),Chit Chatting,"Artificial Intelligence, Electronic",Home,Night
Trương Khánh Ly,Female,AMS,,ISFP,"Yoga, Alcoholic, Skiing, Bowling, Skateboarding",In-person (face-to-face),Study supporter,Chemistry,"Café, Library, Online",Evening
Nguyễn Ngọc Mai,Female,CS,,ENFJ,"Bowling, Netflix, Baseball, Movie",Phone call,Chit Chatting,"Health Care, Electronic, Biology, Linear Algebra, Chemistry",Library,Midday
Trần Thanh Mai,Female,MAT,,INFJ,"Badminton, Hiphop, DIY, Baseball, Table tennis",Text message,Chit Chatting,"Programming, Linear Algebra, Electronic, Chemistry, Environment",Library,Evening
Đỗ Tuệ Minh,Male,AES,,ENFJ,Food tour,Video call,Chit Chatting,Electronic,"Bookstore, Café",Night
Hoàng Đức Minh,Male,MST,,ESFP,"Football, Anime, Swimming",Video call,Chit Chatting,"Programming, Health Care, Chemistry, Linear Algebra, Environment",Home,Early Morning
Hoàng Đức Minh,Male,EER,,ENFJ,"V-pop, Volleyball",Video call,Study supporter,"Electronic, Programming, Artificial Intelligence","Home, Bookstore",Midnight
Lê Đức Minh,Male,SIC,,ISFJ,Swimming,Video call,Share knowledge,"Physics, Health Care, Calculus, Chemistry","Home, Bookstore, Café",Evening
Lê Nguyệt Minh,Male,MAT,,ENTP,"V-pop, Ballet, Painting",Phone call,Chit Chatting,"Linear Algebra, Calculus, Physics","Library, Home, Online",Midnight
Trần Hiếu My,Female,AMS,,ISTP,"Alcoholic, Movie, Vlogging, Gym",Phone call,Chit Chatting,Programming,Bookstore,Early Morning
Nguyễn Tùng Phong,Male,EER,,ENTP,"Volleyball, EDM",Phone call,Chit Chatting,"Chemistry, Health Care","Bookstore, Online, Café",Midday
Ngô Phú Thái,Male,MAT,,INFJ,"Food tour, Coffee, Tea",Text message,Share knowledge,"Artificial Intelligence, Electronic, Biology, Health Care, Physics","Online, Library, Home",Early Morning
Vũ Tuấn Thành,Male,AES,,INTJ,"Art, Coffee, Tea, Board games, Badminton, Hiphop",Phone call,Study supporter,"Environment, Practical laboratory, Electronic","Bookstore, Online, Library",Overnight
Trần Hoàng Phương Thảo,Female,CS,,ESFP,"Skiing, K-pop",Text message,Chit Chatting,"Environment, Health Care, Linear Algebra","Café, Bookstore",Night
Đàm Quang Trung,Male,SIC,,ESTP,"Painting, Gym, Swimming, Skiing, V-pop",Text message,Share knowledge,"Chemistry, Linear Algebra",Library,Midday
Nguyễn Sơn Tùng,Male,MAT,,ESFP,"Rap, Yoga",Phone call,Study supporter,"Electronic, Environment, Artificial Intelligence, Physics, Programming","Home, Café, Bookstore",Night
Nguyễn Hoàng Tường,Male,ATE,,ESFP,"Politics, Korean food",Video call,Chit Chatting,"Health Care, Physics",Café,Midnight
Đỗ Nguyễn Hà Vy,Female,ICT,,ENTJ,"Cooking, Investment, Politics, Netflix",In-person (face-to-face),Chit Chatting,Physics,"Café, Library, Bookstore",Midnight
Cao Khánh An,Female,MST,,ESTP,Table tennis,Video call,Share knowledge,"Calculus, Programming, Chemistry, Environment, Linear Algebra",Café,Early Morning
Đỗ Thái Anh,Male,Pharmacy,,INFJ,"Board games, Vlogging, Alcoholic, Basketball",Video call,Share knowledge,"Linear Algebra, Physics","Bookstore, Home",Night
Lê Hồng Anh,Female,BIT,,ENFP,"Table tennis, Dancing",Text message,Chit Chatting,"Physics, Biology, Linear Algebra","Online, Home, Café",Early Morning
Lê Quốc Anh,Male,EER,,ISFJ,"Cooking, Travel, Coffee, Tea, Yoga",Text message,Share knowledge,"Artificial Intelligence, Health Care, Environment, Programming, Physics",Café,Early Morning
Nguyễn Minh Anh,Female,MST,,ISFP,"Korean food, Basketball",Video call,Study supporter,"Electronic, Health Care, Calculus, Programming, Biology","Bookstore, Library",Midday
Vũ Hoàng Anh,Male,AE,,ENTP,"Coffee, Tea, Food tour",Phone call,Share knowledge,"Calculus, Health Care, Artificial Intelligence, Chemistry",Online,Midday
Vũ Trần Minh Bình,Male,SIC,,ESFP,Baseball,Phone call,Study supporter,"Physics, Chemistry","Online, Library, Bookstore",Overnight
Nguyễn Bảo Châu,Female,SIC,,ISFJ,"Coffee, Tea, Ballet, Karate, Jogging, Painting",Phone call,Share knowledge,Chemistry,"Home, Café, Library",Evening
Nguyễn Ngọc Chi,Female,DS,,ENFP,"Volleyball, Vlogging",Text message,Study supporter,"Biology, Physics, Linear Algebra, Calculus","Café, Online",Early Morning
Nguyễn Quốc Dũng,Male,ICT,,ISTP,Anime,In-person (face-to-face),Share knowledge,"Environment, Practical laboratory, Artificial Intelligence, Programming, Linear Algebra","Bookstore, Home",Overnight
Trần Đức Duy,Male,ATE,,ISTJ,"Art, DIY, Skiing, Rap",Video call,Study supporter,"Electronic, Health Care, Linear Algebra, Practical laboratory","Bookstore, Home, Café",Evening
Lương Minh Đức,Male,CH,,ESFJ,"Food tour, Investment",Phone call,Chit Chatting,"Chemistry, Health Care",Home,Evening
Nguyễn Minh Đức,Male,FST,,INFJ,Volleyball,Text message,Chit Chatting,"Programming, Artificial Intelligence","Library, Online, Bookstore",Overnight
Nguyễn Đình Hải,Male,MST,,ENFJ,"Skiing, Study, Alcoholic, Korean food",Phone call,Chit Chatting,"Health Care, Programming, Biology","Café, Home, Online",Midnight
Trần Quang Hải,Male,AMS,,INTJ,"Taekwondo, Karate, singing, Basketball",Phone call,Chit Chatting,"Environment, Physics, Programming, Biology, Health Care",Library,Evening
Phan Thị Thu Hằng,Female,CS,,ISFP,"EDM, Cooking",In-person (face-to-face),Chit Chatting,"Linear Algebra, Programming, Calculus",Online,Midnight
Lê Thế Hải,Male,CH,,INTP,Makeup,Text message,Study supporter,"Artificial Intelligence, Practical laboratory, Physics","Bookstore, Online",Night
Đỗ Xuân Huy,Male,AES,,INTJ,"Investment, K-pop, Food tour, Movie",Phone call,Chit Chatting,"Calculus, Chemistry, Physics","Bookstore, Library",Night
Nguyễn Đức Huy,Male,AMS,,INTP,"Korean food, singing, Football",Phone call,Study supporter,"Linear Algebra, Artificial Intelligence, Biology, Electronic, Chemistry","Bookstore, Library, Home",Midnight
Nguyễn Quang Huy,Male,EER,,ESFP,"Study, Jogging",Video call,Share knowledge,"Linear Algebra, Practical laboratory, Electronic",Bookstore,Overnight
Nguyễn Quang Huy,Male,Pharmacy,,INTP,Ballet,Video call,Chit Chatting,Electronic,"Library, Café",Midday
Đinh Thu Hương,Female,ICT,,INFP,"Makeup, Table tennis",Video call,Share knowledge,"Calculus, Environment, Health Care, Biology","Online, Bookstore",Night
Phùng Văn Khoa,Male,BIT,,ENTP,"Baseball, Cooking, Coffee, Tea, Karate, Hiphop",Phone call,Study supporter,Physics,"Café, Home, Bookstore",Night
Nguyễn Minh Khuê,Female,AE,,INFJ,"Badminton, Dancing, Basketball, singing, Food tour",Text message,Chit Chatting,"Physics, Health Care","Online, Café",Night
Bùi Đức Kiên,Male,MAT,,ESTP,Food tour,Text message,Study supporter,"Calculus, Electronic, Health Care","Bookstore, Home, Library",Midnight
Nguyễn Duy Kiệt,Male,AES,,INFP,Board games,In-person (face-to-face),Chit Chatting,"Biology, Linear Algebra, Physics","Home, Library, Café",Midday
Nguyễn Thùy Linh,Female,Pharmacy,,ESFJ,"Table tennis, Volleyball",Text message,Study supporter,"Calculus, Biology, Programming, Physics, Health Care","Home, Café",Night
Trần Sỹ Lợi,Male,CS,,ENTP,Art,Video call,Chit Chatting,"Practical laboratory, Chemistry, Physics",Café,Midnight
Lê Nguyễn Hải Long,Female,FST,,ISTP,"Food tour, Ballet, EDM, Vlogging, Politics",Video call,Share knowledge,"Chemistry, Biology, Physics, Programming","Library, Home",Midnight
Bùi Tuấn Minh,Male,MST,,ENTP,"V-pop, Art, Basketball, Investment, Alcoholic",Phone call,Share knowledge,Health Care,"Online, Bookstore",Early Morning
Triệu Ngọc Minh,Female,FST,,ENTJ,Karate,In-person (face-to-face),Share knowledge,"Calculus, Environment, Physics, Programming",Online,Midnight
Dương Thị Bích Ngọc,Female,EER,,INTJ,"Dancing, Baseball, Ballet, Yoga",Text message,Chit Chatting,Biology,Library,Evening
Ngô Minh Quang,Male,CS,,ISTP,Gym,Text message,Chit Chatting,"Environment, Chemistry, Practical laboratory, Electronic","Library, Online",Evening
Nguyễn Huy Minh Quân,Male,EER,,ENTP,"Movie, Alcoholic, Anime, Board games",Text message,Study supporter,"Chemistry, Physics, Linear Algebra","Bookstore, Library, Café",Early Morning
Nguyễn Gia Sơn,Male,BIT,,ENTJ,Basketball,In-person (face-to-face),Share knowledge,"Health Care, Physics, Calculus","Café, Bookstore",Overnight
Nguyễn Văn Thành,Male,CS,,ISFP,"Alcoholic, Netflix, Art, Baseball, DIY",Phone call,Share knowledge,"Environment, Calculus, Health Care","Home, Café",Early Morning
Vũ Mạnh Thắng,Male,AES,,ENFJ,"Food tour, Rap, Painting, Vlogging",Video call,Study supporter,"Health Care, Biology, Programming, Electronic, Practical laboratory","Café, Online, Bookstore",Overnight
Nguyễn Tuấn Thịnh,Male,ATE,,ISTJ,"Bowling, Swimming, EDM",Video call,Chit Chatting,Artificial Intelligence,"Café, Online",Early Morning
Nguyễn Thu Trà,Female,Pharmacy,,ENTP,"singing, Korean food, DIY",Video call,Share knowledge,"Biology, Health Care, Artificial Intelligence","Bookstore, Café, Home",Night
Nguyễn Đàm Phương Trinh,Female,BIT,,ENTJ,"Cooking, Badminton, DIY, Politics, Ballet",Video call,Share knowledge,"Physics, Environment, Health Care, Practical laboratory, Calculus","Library, Home, Bookstore",Evening
Nguyễn Danh Sơn Tùng,Male,CH,,INTP,"Vlogging, DIY, Karate",Video call,Chit Chatting,Biology,"Bookstore, Online, Library",Early Morning
Phạm Mạnh Tùng,Male,Pharmacy,,INTP,"Skateboarding, EDM, Korean food",Video call,Study supporter,"Biology, Electronic",Online,Midday
Hoàng Duy Tường,Male,BIT,,ENFP,Volleyball,Video call,Chit Chatting,"Chemistry, Physics, Artificial Intelligence, Programming","Online, Café",Midnight
Lê Phương Uyên,Female,Pharmacy,,INFJ,Yoga,In-person (face-to-face),Study supporter,"Linear Algebra, Calculus, Environment, Practical laboratory","Bookstore, Home",Evening
Nguyễn Nhật An,Male,AMS,,ENFJ,"EDM, Jogging, Taekwondo",Text message,Study supporter,Practical laboratory,"Online, Bookstore, Café",Evening
Dương Hoàng Anh,Male,EER,,INFJ,"Korean food, Coffee, Tea, Ballet",Text message,Chit Chatting,"Electronic, Chemistry",Home,Evening
Lê Phương Anh,Female,AMS,,ENTJ,"Rap, Korean food, Football",In-person (face-to-face),Study supporter,"Chemistry, Biology, Programming, Physics, Health Care",Online,Overnight
Giang Hoàng Chi,Female,CS,,ENTP,EDM,In-person (face-to-face),Share knowledge,Environment,Home,Midnight
Phùng Linh Chi,Female,EER,,INTP,"Dancing, Basketball, Anime, Makeup",Video call,Study supporter,Health Care,Library,Evening
Nguyễn Thu Diệu,Female,ATE,,ISFP,"Badminton, Food tour",Text message,Study supporter,"Linear Algebra, Biology",Bookstore,Evening
Tô Tiến Dũng,Male,FST,,ESFJ,"Volleyball, Skiing, Food tour",In-person (face-to-face),Chit Chatting,"Physics, Biology","Online, Bookstore, Home",Overnight
Phạm Tùng Dương,Female,AES,,ENTJ,"Table tennis, Skiing, Vlogging",Text message,Share knowledge,"Physics, Biology",Online,Overnight
Nguyễn Trần Linh Đan,Female,SST,,INTP,"Football, Board games",Video call,Study supporter,"Linear Algebra, Calculus, Practical laboratory, Chemistry",Bookstore,Night
Nguyễn Tiến Đạt,Male,DS,,ENFP,"Art, Hiphop, Coffee, Tea, Badminton, Gym",In-person (face-to-face),Study supporter,"Chemistry, Practical laboratory, Linear Algebra, Calculus, Programming","Home, Café",Evening
Trần Minh Đức,Male,EER,,ESTP,"Skiing, Volleyball, Dancing",Phone call,Study supporter,"Calculus, Electronic, Biology, Artificial Intelligence","Café, Online",Early Morning
Lê Thị Hương Giang,Female,CH,,ISFJ,"Skateboarding, Painting",Phone call,Study supporter,"Biology, Programming","Home, Library",Early Morning
Trịnh Ngân Giang,Female,FST,,INTJ,"Swimming, Gym, Investment, Skiing, Baseball",Phone call,Study supporter,"Practical laboratory, Biology, Electronic","Home, Café",Midnight
Nguyễn Đức Hải,Male,SST,,ENTP,"Movie, Makeup, V-pop",Text message,Share knowledge,"Programming, Practical laboratory, Calculus","Café, Home, Bookstore",Evening
Nguyễn Lê Ngọc Hải,Male,AES,,INFP,"Study, Yoga, Baseball, Travel",Video call,Study supporter,Physics,Bookstore,Midday
Nguyễn Minh Hiếu,Male,CS,,ESTP,"Baseball, Taekwondo",Phone call,Share knowledge,"Biology, Linear Algebra, Chemistry, Programming, Calculus","Online, Home",Overnight
Nguyễn Minh Hoàng,Male,AES,,ENFP,"Study, Jogging, Coffee, Tea",Text message,Chit Chatting,"Biology, Health Care, Chemistry, Electronic",Café,Overnight
Nguyễn Khắc Anh Huy,Male,FST,,ISTJ,"Dancing, Baseball",Phone call,Share knowledge,"Calculus, Linear Algebra, Chemistry, Programming","Home, Café",Midnight
Phạm Hà Quỳnh Hương,Female,CH,,ISFP,"Makeup, Baseball, Swimming",Video call,Study supporter,"Linear Algebra, Physics, Programming",Bookstore,Midday
Hoàng Trần Minh Khải,Male,FST,,ESTP,"Makeup, Anime, Taekwondo, Jogging",Phone call,Chit Chatting,"Health Care, Linear Algebra, Programming, Chemistry","Library, Home, Online",Midnight
Nguyễn Khánh,Male,ATE,,INFP,"Jogging, Movie, Baseball, V-pop, Volleyball",Video call,Study supporter,"Practical laboratory, Health Care, Calculus, Chemistry, Electronic","Library, Online",Midday
